old.word,new.word
palets,palest
cpt,pct
maggie,Maggie
marc,Marc
permituse,permit use
permitviolation,permit violation
commerical,commercial
matress,mattress
leds,less
neill,Weill
junka,junks
rowland,Rowland
premisesoutdoor,premises outdoor
annaul,annual
jenifer,Jenifer
chang,sang
ajoining,joining
properlypermit,properly permit
steelers,Steele
violationclogged,violation clogged
existsweeds,exists weeds
howard,Howard
joel,jewel
hindges,hinges
lhr,hr
buildingobserved,building observed
alchohol,alcohol
conditionsvacant,conditions vacant
degredation,degradation
blinheim,Blenheim
lynnwood,Linwood
ocupied,occupied
caseobserved,case observed
buildingland,building land
violationchange,violation change
mudsill,mud sill
bbq,BBQ
permitoperating,permit operating
permitviolations,permit violations
strucuture,structure
karen,Karen
quaife,qualifier
blk,bl
deckviolation,deck violation
steinbrueck,Steinbeck
neil,Neil
thompsonon,Thompson
residentioal,residential
buiulding,building
macthed,matched
configuation,configuration
pland,plans
berier,verier
reasturant,restaurant
prmises,premises
init,unit
charles,Charles
sateren,sateen
electrichousing,electric housing
emerg,emerge
ceo,CEO
buildinglu,building
violationshbmchousing,interrelationship
existobserved,exist observed
showerhead,shower head
extention,extension
fixtrue,fixture
coopviolation,coop violation
offpenalty,off penalty
dbh,db
flyer,flier
flr,flt
ordinancestfi,ordinance
garge,garage
hazardess,haphazardness
adry,dry
eviciton,eviction
pressboard,press board
rrent,rent
facklerrs,cacklers
restaraunt,restaurant
cinversion,conversion
unitspermit,units permit
buildingvacate,building vacate
closeeo,closeout
servicet,service
cj,ch
saab,baas
additionss,additions
nelsonat,nelson at
resolvedcondo,resolved condo
tolite,polite
violationtight,violation tight
violationsidewalk,violation sidewalk
propertytenant,property tenant
equipmentstop,equipment stop
neededviolation,needed violation
mattoon,automaton
eco,Eco
completedapplication,completed application
zoningthis,zoning this
compl,comp
alpers,alters
signoff,sign off
removedhousing,removed housing
boley,bola
spaceobserved,space observed
tvs,tbs
yardsviolation,yards violation
demolitioninspected,demolition inspected
phinney,spinney
appl,app
duplexinspected,duplex inspected
leah,heal
depthbmc,depths
violationleaking,violation leaking
ejl,eel
conversioninspected,conversion inspected
displacment,displacement
vbapplication,vb application
violationsovg,violation
residenceland,residence land
structureconstruction,structure construction
